source_id,tier,source_type,evidence_form,title,publisher_or_owner,url,checked_date,verified_scope,key_verified_facts,limits_or_caveats
V026,B,media,text,"Gobao X1 et X1P eCVT article","Transition Velo","https://www.transitionvelo.com/composants/moteurs-batteries/moteurs/gobao-x1-et-x1p-ecvt-les-nouveaux-monstres-chinois-qui-veulent-deja-detroner-avinox-et-owuru/","2026-07-04","Gobao X1/X1P media interpretation and risk framing","Article describes Gobao X1 and X1P as eCVT motors integrating continuously variable transmission into the motor block. It reports X1 at 120 Nm and 1200 W, X1P at 150 Nm and 1500 W, compares the concept with Owuru, and states the real judges will be thermal management, long-term reliability, software responsiveness and energy efficiency. It also states Gobao had no partner or bike to show at that moment.","Media source. Use X1/X1P naming and market/risk framing cautiously unless official Gobao materials confirm the names and timing."
V027,B,media,text,"Avinox MG Concept article","Transition Velo","https://www.transitionvelo.com/composants/moteurs-batteries/moteurs/avinox-mg-concept-un-prototype-de-moteur-a-transmission-integree-qui-promet-la-fin-des-vitesses/","2026-07-04","Avinox MG Concept feature and partner signal","Article reports Avinox MG Concept as a Eurobike 2026 prototype integrating motor and electronic gearbox. It reports under 0.1 s shifting, shifting under heavy pedaling load and at standstill, cadence-based auto mode, AI+ mode, simulated gears, around 520% development range, partners Canyon, Commencal, Forbidden, Mondraker and Megamo, and broad fit across eMTB, eSUV, trekking, eGravel and urban bikes.","Media source. It explicitly notes lack of deeper technical specifications such as weight, power and torque. Do not treat as official Avinox spec."
V028,B,industry_media,text,"Avinox stellt neuen MG Concept Motor vor","Velobiz","https://www.velobiz.de/news/avinox-stellt-neuen-mg-concept-motor-vor-veloQXJ0aWNsZS8zNDk2MQbiz","2026-07-04","Avinox MG Concept industry-media launch evidence","Article reports Avinox MG Concept launch at Eurobike and collaboration with Canyon, Commencal, Forbidden, Mondraker and Megamo. It lists claimed features: uninterrupted power delivery, shifting under high torque while pedaling or at standstill, shift time under 0.1 s, manual and automatic shifting, cadence-based mode, AI+ automatic mode, no derailleur or multi-speed cassette when using single-speed chain or belt, adaptability to eMTB/eTrekking/eSUV/gravel, natural feel for total moving mass over 150 kg and anti-theft motor locking even without power.","Industry media, likely based on launch materials but still not an official Avinox page. Use as quasi-launch media evidence, not final specification."
V029,B,media_event_coverage,text_and_image_reference,"Avinox MG Concept: Lightweight, Full-Power Combined eBike Motor & Gearbox Project","BikeRumor","https://bikerumor.com/avinox-mg-concept-combined-ebike-motor-and-gearbox-at-eurobike-2026/","2026-07-04","Avinox MG Concept event-booth evidence and uncertainty boundary","Article states Avinox had not shared an official press kit and had not answered all technical questions. It reports booth/display-level details including 520% gear range, customizable number of gear steps, operation around 45 dB like M2S/M2, shift time under 0.1 s, shifting under load up to 300 Nm or at a standstill, auto shift mode, straight chainline, low maintenance and suitability for multiple e-bike types. It reports Avinox would not confirm whether the system used a CVT inside, while describing an infinitely variable transmission claim.","Important caveat source: use the booth/display values as Avinox production-direction and quasi-production target information, while not classifying the internal architecture as confirmed e-CVT until official technical materials confirm the mechanism."
V030,B,media_first_ride,text,"Owuru Ride article","Transition Velo","https://www.transitionvelo.com/composants/moteurs-batteries/moteurs/owuru-ride-150-nm-de-couple-et-1000-w-de-puissance-pour-le-moteur-a-variation-continue/","2026-07-04","Owuru Ride prototype / continuous-variation motor route","Article reports Owuru Ride as a motor integrating CVT, up to 150 Nm and 1000 W peak, 3.9 kg, 500% variation range, target-cadence operation, intended for eMTB and cargo, and not only Decathlon bikes. It reports a short prototype ride and notes Rockrider software work and expected late-2026/2027 bike timing.","Media first ride of prototype, not an official specification or long-term test. Use for historical/adjacent e-CVT lessons, not as current confirmed competitor spec."
V031,B,media_review,text,"Test Decathlon Btwin LD 920 E","Transition Velo","https://www.transitionvelo.com/test/test-decathlon-btwin-ld-920-e-le-velo-de-ville-electrique-ultime/","2026-07-04","Urban e-bike with Owuru continuous-variation motor, user-experience evidence","Review describes Decathlon Btwin LD 920 E as the first bike with the Owuru continuous-variation motor. It states the rider sets desired cadence between 40 and 90 rpm, the system adapts ratio without derailleur or gear hub, and the reviewer found the system smooth, reactive and well adapted to urban use. It also notes the bike is heavy, uses chain rather than belt, has audible rollers, and keeps battery reserve for the ratio-control motor.","Media review of one urban bike, not high-power e-CVT MGU validation. Useful mainly as evidence that target-cadence/no-shift UX can work for city use."
V032,B,booth_image_ocr,image/OCR,"Avinox MG Concept Tech Details booth graphics","BikeRumor / Avinox Eurobike booth","https://bikerumor.com/avinox-mg-concept-combined-ebike-motor-and-gearbox-at-eurobike-2026/","2026-07-05","Avinox MG Concept product-definition booth graphics","Six Tech Details images show natural ride feel with reduced unsprung mass >1.1 kg, support heavier riders 150 kg, 45 dB ultra-quiet operation, torque smoothing, assist remain and overrun; seamless shifting with assist-off gear shift, stationary shifting, 300 Nm shift under load, >1 s traditional shifting window and <0.1 s Avinox shifting window; fully customizable 100%-520% infinitely variable gear ratio with configurable gear profiles and 1-13 virtual gears; maintenance-free single-speed style drivetrain with 3 times more durable claim and traditional drivetrain 10% less efficient claim; next-gen functions including mechanical motor lock, electric reverse assist, built-in speed sensor and downhill charging graphic; platform fit for eMTB, eTrekking, eSUV, eGravel, eCity and eCargo.","Booth image/OCR evidence rather than a final public datasheet, but for internal product benchmarking it should be treated as high-confidence Avinox production-direction and quasi-production product-definition information; internal mechanism, test basis, release timing and final certification still require official closure."
V033,O,official_technology_page,text,"E2Drives Technology official page","E2Drives","https://e2drives.com/technology/","2026-07-14","E2Drives / Owuru Propulsive Module architecture and current production example","Official page describes the Propulsive Module as an all-in-one drive unit composed of an automatic transmission next to the bottom bracket and two electric motors. It lists first-generation characteristics including 600 W peak power, 65-120 Nm torque range, 265% ratio range, 4.6 kg module mass, no derailleur, no cassette or hub shifter, and use on Decathlon LD920E since summer 2023. It also describes belts, planetary gearing, ratchets/freewheel functions and a shared control PCB.","Official marketing/technology page. Use for architecture, feature and Gen 1 public claims; still need engineering data for efficiency map, heat, durability, serviceability and high-power versions."
V034,O,official_company_page,text,"E2Drives Company official page","E2Drives","https://e2drives.com/company/","2026-07-14","E2Drives company status and Decathlon relationship","Official company page states E2Drives develops patented all-in-one motors with automatic transmission. It describes collaboration with Decathlon since 2019, a strategic partnership with Decathlon in 2020, first motor units in stores since 2023 and E2Drives as a Decathlon subsidiary focused on new products and use cases.","Official company page. Useful for commercial relationship and maturity; not a technical specification source."
V035,O,official_product_page,text,"OWURU official page","OWURU / E2Drives","https://owuru-ebike.com/en/","2026-07-14","Owuru official product positioning and Decathlon LD 920 E integration","Official OWURU page presents OWURU as powered by E2 Drives. It describes automatic gear changing with user-selected cadence, continuous variation without derailleur or gear hub, integrated electric assistance and gear-change management, two motors and Decathlon LD 920 E as the first equipped bike.","Official marketing page. Use for product positioning and architecture boundary; detailed service, efficiency, heat and high-power product data remain open."
V036,O,official_oem_product_page,text,"Decathlon LD 920 E Automatic Owuru product page","Decathlon UK","https://www.decathlon.co.uk/p/long-distance-automatic-owuru-motor-low-frame-electric-city-bike-ld-920-e/355444/m8883702","2026-07-14","Official OEM sales page for Decathlon LD 920 E with Owuru motor","Official Decathlon UK product page identifies the Long-Distance Automatic Owuru Motor Low Frame Electric City Bike LD 920 E as a retail product. It supports using LD 920 E as official OEM-fit evidence for Owuru/E2Drives rather than only a media-tested prototype.","Official retail page, region and availability may change. Use official page for product existence and OEM fit; verify current specs from Decathlon product data before supplier decisions."
V037,B,media_first_ride,text,"Owuru gearbox unit - the Pinion MGU killer?","E-MOUNTAINBIKE","https://ebike-mtb.com/en/owuru-gearbox-unit/","2026-07-14","Owuru high-power gearbox/e-CVT route and Pinion MGU comparison","Article covers Owuru's high-power gearbox unit as an eMTB/cargo-oriented continuous-variation route and compares it against Pinion MGU. It is useful for ride-feel, market positioning and high-power route evidence beyond the Decathlon city-bike product.","Media first-look/ride source, not an official datasheet. Use for high-power Owuru route and Pinion comparison, while treating production timing, durability, efficiency and service data as unverified."
V038,B,media_technical_explainer,text,"What Is an eCVT? Could It Replace Derailleurs and Gearboxes?","Pinkbike","https://www.pinkbike.com/news/why-ecvts-could-be-the-future-of-e-bike-drivetrains.html","2026-07-14","Cross-brand eCVT mechanism and risk explanation","Article explains eCVT logic across current e-bike drivetrain concepts including Avinox, Gobao and Owuru. It is useful for mechanism framing, virtual gears or cadence-based control, and risk themes such as efficiency, low-battery/disabled operation, regulatory boundaries and suitability for lightweight assist bikes.","Media explainer, not a primary product source. Use for mechanism/risk framing only; product-specific specs must come from official or product-specific sources."
V039,B,media_review,text,"Testing Decathlon's new BTWIN LD 920E Automatic city e-bike","DOWNTOWN Magazine","https://downtown-mag.com/en/decathlon-btwin-ld-920e-automatic-city-e-bike-owuru-motor-test/","2026-07-14","Independent LD 920E Owuru city-bike UX review","Review tests the Decathlon BTWIN LD 920E Automatic with OWURU motor and discusses automatic continuously variable transmission, preferred cadence behavior and city-bike usability. It supplements Transition Velo's LD 920 E review as independent UX evidence for target-cadence/no-shift city riding.","Media review of one city bike. Use for urban UX evidence, not for validating high-power eMTB/cargo thermal, lifespan or efficiency."
