evidence_id,source_title,url,source_type,evidence_strength,product_or_architecture,mechanism_claim,control_claim,parameters,usable_for_model,feasibility_implication,open_questions
TE001,"E2Drives Technology","https://e2drives.com/technology/","official","high","Owuru / E2Drives Propulsive Module","All-in-one bottom-bracket area drive unit with automatic transmission, two electric motors, belts, planetary gearing, ratchets/freewheel and shared PCB.","Supports integrated assistance and automatic ratio management in one module.","Gen1 public claims: 600 W peak, 65-120 Nm, 265% ratio range, 4.6 kg.","Architecture topology, baseline ratio range, mass and peak torque can seed a low-power model.","Strongest public evidence that a two-motor e-bike eCVT-like module can be packaged and commercialized in an urban bike class.","No public efficiency map, thermal derating, ratio-rate limit, high-power durability or fault-degradation matrix."
TE002,"OWURU Official Page","https://owuru-ebike.com/en/","official","high","OWURU / E2Drives","No derailleur or gear hub; variation is integrated with electric assistance and gear-change management.","User selects cadence and the system changes ratio continuously to hold it.","Target cadence operation; two motors; Decathlon LD 920 E first equipped bike.","Can support target-cadence controller definition and UX boundary.","Cruise target-cadence logic is real in a mature city-bike implementation.","Does not prove high-torque eMTB/cargo feel, sprint intent detection or climb torque-comfort control."
TE003,"Decathlon LD 920 E Automatic Owuru","https://www.decathlon.co.uk/p/long-distance-automatic-owuru-motor-low-frame-electric-city-bike-ld-920-e/355444/m8883702","official_retail","high","Decathlon / OWURU","Retail OEM-fit evidence for an automatic Owuru motor city bike.","Product existence confirms automatic cadence route reached market in at least one city-bike platform.","Retail model evidence; availability varies by region/time.","Can anchor commercialization maturity level for low-power target-cadence UX.","Proves target cadence is not only a concept-page claim.","Retail page does not expose internal mechanism, efficiency, thermal or failure mode."
TE004,"Transition Velo Owuru Ride","https://www.transitionvelo.com/composants/moteurs-batteries/moteurs/owuru-ride-150-nm-de-couple-et-1000-w-de-puissance-pour-le-moteur-a-variation-continue/","media_first_ride","medium","Owuru Ride prototype","Reports high-power integrated continuous-variation motor route for eMTB/cargo.","Reports target-cadence operation in a high-power prototype context.","Reported prototype figures: 150 Nm, 1000 W peak, 3.9 kg, 500% range.","Only usable as prototype parameter candidate; must be treated as medium evidence.","Shows high-power eCVT MGU direction is being pursued, but not proven as production-stable.","Need official datasheet, test conditions, efficiency, heat and durability."
TE005,"enviolo Products / AUTOMATiQ / CVP","https://enviolo.com/products/","official","high","enviolo / NuVinci traction CVP","Traction CVP hub/gearbox route with continuously variable ratio and enclosed drivetrain compatibility.","AUTOMATiQ preferred pace/cadence control supports automatic target-cadence UX.","Public product ranges include 310-400% family-level ratio ranges; torque/GVW limits vary by model.","Can model traction-CVP architecture as mature target-cadence substitute with ratio range and load envelope placeholders.","Strong proof that preferred-cadence CVT behavior is mature outside motor-internal MGU.","Hub/gearbox route does not prove mid-drive eCVT MGU thermal, packaging or torque density."
TE006,"Pinion E-Drive Motor.Gearbox.Unit","https://pinion.eu/en/e-drive/","official","high","Pinion MGU stepped gearbox","Motor and 9/12-speed sealed gearbox integrated in one unit; not continuous CVT.","Auto.Shift functions target preferred cadence; load shifting and start/coast functions are public product features.","Public specs include 85 Nm, 600/800 W peak, 568/600% range, around 4.0-4.1 kg, 10,000 km oil service.","High-quality benchmark for MGU packaging, range, maintenance and automatic shifting scenarios.","Best production reference for Start.Select / Pre.Select / Auto.Shift user logic, but it is stepped not continuous.","No public full efficiency map, thermal derating, shift-time-under-load map or complete sensor/fault logic."
TE007,"Pinion Smart.Shift Functions","https://pinion.eu/en/e-drive/smartshift-functions/","official","high","Pinion Smart.Shift / Auto.Shift","Electronic actuation of internal gearbox enables shifting functions independent of rear derailleur.","Auto.Shift, Auto.Shift.Pro, Pre.Select and Start.Select define scenarios highly relevant to eCVT MGU.","Target cadence, coasting preselect and starting gear are functional concepts rather than full parameters.","Useful for state-machine design and rider override behavior.","Strong support for start ratio, coasting recovery and adaptive target-cadence logic.","Discrete-shift window and torque interruption behavior cannot be directly mapped to continuous eCVT."
TE008,"Bosch eShift","https://www.bosch-ebike.com/en/products/eshift","official","high","Bosch eShift ecosystem","Bosch smart system integrates partner electronic transmissions rather than defining one drivetrain mechanism.","Supports automatic/manual shifting, starting gear or freewheel shifting depending on partner transmission.","Partner-dependent; includes 3X3, Classified, enviolo, Gearsensor, Rohloff, Shimano, TRP etc.","Useful as control-interface and ecosystem abstraction reference.","Shows OEMs can achieve automatic/electronic shifting without motor-internal eCVT, raising substitute pressure.","Partner protocol, torque-reduction timing, error handling and exact sensor list are not public."
TE009,"Gobao X-System","https://gobao-ebike.com/x-system-new/","official","high","Gobao X-system","Officially positions motor plus transmission in one unit with ECVT route.","AI-based ECVT monitors cadence, torque, speed and gradient to hold preferred cadence and efficiency zone; manual mode retained.","Official public claims include 120/150 Nm class, 1200/1500 W class, 400/500% range and connected services.","Can seed target benchmark envelope, but use as claimed public product data, not verified test data.","Strongest current official high-power eCVT MGU signal for preferred cadence plus multi-sensor automatic ratio control.","Need final X1/X1P datasheet, sustained power, efficiency/thermal maps, lifetime and real OEM bikes."
TE010,"The Verge Eurobike 2026 Avinox/Gobao","https://www.theverge.com/news/959382/avinox-mg-concept-gobao-mgu-ecvt","media_event","medium","Avinox MG Concept / Gobao X-series","Reports new eCVT MGU direction at Eurobike and compares virtual gears/automatic ratio logic.","Describes automatic shifting, standing shifting, low maintenance and quietness claims in event context.","Mentions Gobao 2027 production window and Avinox/Gobao headline values from public demonstrations.","Useful for market signal and event timeline; not a datasheet.","Confirms this is an active competitive direction, but does not prove engineering feasibility under load/heat.","Need official product documentation and independent tests."
TE011,"BikeRadar Avinox MG Concept","https://www.bikeradar.com/news/avinox-mg-concept-ecvt-motor","media_event","medium","Avinox MG Concept","Reports integrated motor/e-CVT concept with chain or belt compatibility, mechanical lock and regen/braking-related functions.","Reports automatic/manual control and cadence/power-based behavior in concept context.","Reported values include 150 Nm/1500 W, 100-520% range; treat as media claim.","Can define Avinox benchmark hypotheses, not validated model constants.","Supports feature scope comparable to user's product direction.","Internal mechanism, continuous-vs-stepped implementation and final production limits remain unproven."
TE012,"BikeRumor / Avinox Tech Details image OCR pack","local booth image OCR","media_image_ocr","medium_high","Avinox MG Concept","Booth graphics claim torque smoothing, seamless shifting, configurable virtual ratios, single-speed external drivetrain and next-gen functions.","Claims auto/manual/multi-gear shifting, fast shifting, load/standstill shifting and natural ride feel.","Image-embedded claims include 100-520% range, <0.1 s window, load shift up to 300 Nm, 45 dB, 3x durability and 10% efficiency delta; do not treat as verified production parameters.","Useful for benchmark target list and validation-task definition, not final simulation constants.","High-value product-definition signal; shows what competitors are trying to claim.","Need official press kit, measurement positions, test basis, final datasheet and mechanism disclosure."
TE013,"US6163148A torque sensor / assist device","https://patents.google.com/patent/US6163148A/en","patent","medium","Pedelec torque sensing","Torque sensor and zero-point adjustment mechanism for human input sensing.","Supports stable rider-torque measurement as prerequisite for assist and automatic ratio logic.","Patent-level mechanism; no current product parameter.","Useful for sensor-state and fault-offset modeling.","Shows torque sensing and offset management are foundational for human-in-loop drivetrain control.","Does not define eCVT ratio control or rider-feel objective."
TE014,"US5516132A Variable-speed transmission","https://patents.google.com/patent/US5516132A/en","patent","medium","Bicycle CVT / variable transmission","Continuous or variable-speed transmission mechanism relevant to bicycle-scale ratio control.","Can inform ratio trajectory and low-speed smoothness constraints.","Expired patent; mechanism-specific.","Useful for architecture ideas and boundary conditions, not product proof.","Supports feasibility of bicycle-scale variable ratio mechanisms in principle.","Efficiency, durability and modern e-bike load envelope not proven."
TE015,"US9970520B2 Continuous variable transmission","https://patents.google.com/patent/US9970520B2/en","patent","medium","CVT mechanism","Friction-independent CVT family emphasizing input-output ratio control.","May inform ratio linearization and actuation constraints.","Patent-level; no e-bike product parameters.","Useful for mechanism options and ratio-control abstraction.","Shows CVT ratio control can be formulated mechanically beyond friction-only assumptions.","Not enough to select architecture without efficiency/packaging evidence."
TE016,"US7867124B2 GM power-split transmission","https://patents.google.com/patent/US7867124B2/en","patent","medium","GM Voltec two-motor power split","Two-motor planetary power-split architecture with multiple modes.","Relevant to mode switching, controlled freedom degree and fault/limp concepts.","Automotive scale; high voltage, multi-clutch system.","Useful for architecture analogy and mode-state modeling.","Strong conceptual support for motor-controlled ratio/mode management.","Not directly scalable to e-bike weight, cost, voltage, cooling or legislation."
TE017,"Transmission Ratio Design for Electric Vehicles via Analytical Modeling and Optimization","https://arxiv.org/abs/2006.04705","paper","high","EV CVT / transmission optimization","Analytical modeling of transmission ratio selection for electric vehicles.","Shows ratio optimization should consider motor loss rather than assume one fixed ratio.","EV-scale model; can be downscaled with caution.","Useful for optimal ratio trajectory and motor-loss approximation.","Supports evidence-based ratio optimizer instead of hand-drawn trends.","Does not include human cadence/torque comfort or bicycle drivetrain losses."
TE018,"Energy-optimal Design and Control of Electric Vehicles' Transmissions","https://arxiv.org/abs/2105.05119","paper","high","EV transmission optimal control","Transmission design/control problem comparing CVT and fixed/multi-gear transmissions.","Defines optimization framing for ratio, energy and constraints.","EV-scale; not e-bike-specific.","Useful for OCP/MPC structure and sensitivity studies.","Supports simulating parameter windows rather than single curve.","Needs rider and e-bike adaptation."
TE019,"Virtual-bike emulation in a series-parallel human-powered electric bike","https://arxiv.org/abs/2305.05569","paper","medium_high","Series-parallel / virtual-chain e-bike","Human-powered electric bike with virtual-bike emulation concept.","Human-in-loop control shows rider feel can be shaped by software if drivetrain is decoupled.","Series-parallel architecture; not necessarily legal/efficient for mainstream e-bike.","Useful for human-in-loop objective design and virtual drivetrain analogy.","Supports idea that rider feel is controllable, but efficiency/legal trust risks are high.","Not proof for mechanical eCVT MGU."
TE020,"On modelling bicycle power-meter measurements","https://arxiv.org/abs/2103.09806","paper","high","Cyclist power model","Bicycle power balance includes grade, drag, rolling, acceleration and drivetrain losses.","Emphasizes instantaneous cadence/power interpretation for rider-side modeling.","Power-meter/GPS model parameters need calibration.","Useful for vehicle+rider longitudinal module.","Necessary basis for climb and sprint scenario energy/torque calculation.","Does not include eCVT actuator dynamics."
TE021,"Bicycle Longitudinal Motion Modeling","https://arxiv.org/abs/2008.05908","paper","high","Bicycle longitudinal dynamics","Provides bicycle longitudinal motion modeling and parameter calibration ideas.","Can be used to build speed/acceleration response under rider and motor torque.","Bicycle dynamics; not drivetrain-specific.","Useful for road-load and vehicle-state module.","Supports physically grounded scenario simulation.","Need drivetrain, motor and rider comfort layers."
TE022,"Energy-optimal Design and Control of Electric Powertrains under Motor Thermal Constraints","https://arxiv.org/abs/2111.07711","paper","high","Motor thermal + transmission model","Powertrain design/control under motor thermal constraints and transmission choice.","Shows thermal constraints can change optimal ratio/control choices.","EV-scale thermal model.","Useful for motor temperature state and derating constraints.","Directly relevant to high-power eCVT MGU risk: ratio control may help motor, but thermal margins decide feasibility.","Need actual e-bike motor and eCVT loss parameters."
