item_id,layer,brand,system,interesting_feature,pain_point_addressed,pain_point_type,who_cares,value_beyond_basic,existing_alternatives,defensibility_or_moat,what_to_copy_or_avoid,evidence_ids,evidence_strength
FP001,L1 direct MGU,Pinion,"E-Drive MGU E1.9/E1.12","Motor and gearbox integrated in one sealed unit","External derailleur damage, chain/cassette wear, drivetrain exposure, maintenance frequency","maintenance; reliability; integration","OEM; service network; trekking/cargo/SUV users","high","Traditional mid-drive plus derailleur; internal gear hubs; gearbox bikes","High if gearbox durability, service tooling and OEM interface are mature","Copy low-maintenance system framing; avoid launching without clear service model","F001;F004;V001","official_verified"
FP002,L1 direct MGU,Pinion,"E-Drive MGU E1.9/E1.12","9/12 gears with 568%/600% range","Wide climbing-to-cruising range without external cassette complexity","ride performance; maintenance","sport users; cargo users; OEM","high","Wide-range derailleur cassette; Rohloff; enviolo; Pinion non-motor gearbox","Medium-high because ratio range alone can be copied, but integrated package is harder","Use as minimum benchmark for credible wide-range MGU; do not claim innovation from wide range alone","F002;F003;V001","official_verified"
FP003,L1 direct MGU,Pinion,"E-Drive MGU E1.9/E1.12","Auto.Shift / Pre.Select / Start.Select and shifting under load are claimed","Wrong gear at restart, cadence disruption, difficult shifting under load","UX; control; safety","commuters; cargo riders; less technical riders","high","Shimano AUTO SHIFT; Bosch eShift; SRAM Powertrain; enviolo Automatic","Medium because control UX can be matched externally; stronger when tied to sealed drivetrain","Copy start-gear and load-shift logic; validate with real rides before marketing","F004;V001","official_verified"
FP004,L1 direct MGU,Gobao,"X-system Urban & Trekking","Automatic continuously variable transmission in motor+transmission unit","User does not need to choose gears; smoother stop-start and hill riding","UX; control; accessibility","urban users; trekking users; new riders; OEM","high","enviolo Automatic; Bosch eShift partners; Shimano AUTO SHIFT","Potentially high if eCVT efficiency/reliability is proven; currently unproven from public evidence","Explore eCVT UX, but require efficiency/thermal/life validation before committing","F010;F011;V004","official_verified"
FP005,L1 direct MGU,Gobao,"X-system MTB & Cargo","150 Nm, 1500 W, 500% range, 3.85 kg page specs with eCVT","Combines high-output assist with automatic ratio control for load/climb scenarios","performance; cargo; integration","cargo users; eMTB users; OEM product planners","high","High-torque mid-drives plus electronic drivetrain; Pinion MGU","Medium until production, thermal and sustained-output evidence is proven","Treat as high-risk/high-reward benchmark; do not chase peak numbers without duty-cycle proof","F010;F012;V004","official_verified"
FP006,L1 direct MGU,"DJI / Avinox","MG Concept","Tech Details-backed production-direction / quasi-production eCVT/MGU product definition with torque smoothing, <0.1 s shifting, 300 Nm load shift, 100%-520% virtual gear range, low-maintenance drivetrain and system functions","Integrated motor, transmission, software, rear-drivetrain simplification, torque-control ride feel and OEM-ready cross-platform experience","strategy; integration; control; maintenance; brand","OEM; premium eMTB users; cargo/SUV/trekking planners; investors","high","Gobao X-system; Pinion MGU; SRAM/Bosch/Shimano ecosystems; enviolo/Rohloff hub routes","High if DJI/Avinox converts Tech Details into production hardware, service and software ecosystem; mechanism and final datasheet still need closure","Use Tech Details as production-direction / quasi-production target benchmark; validate efficiency, heat, life, service, charging path and internal mechanism before copying claims","F031;F032;F034;F036;F043;F044;F045;F046;F047;F048;V003;V027;V028;V029;V032","booth_image_quasi_production"
FP007,L2 quasi-direct,Bosch,eShift,"Partner-based electronic/automatic shifting inside Bosch ecosystem","Gives automatic/e-shift UX without changing motor architecture","UX; ecosystem; OEM integration","OEM; riders; service network","medium-high","MGU; Shimano AUTO SHIFT; SRAM Powertrain; enviolo/Rohloff systems","High ecosystem moat: partner matrix, display/app integration, service network","Do not underestimate externalized automation; MGU must beat it on maintenance/integration","F013;F014;V005","official_verified"
FP008,L2 quasi-direct,Shimano,"AUTO SHIFT / Di2","Uses cadence, torque and speed sensors for automatic gear choice with manual override","Rider forgets to shift, chooses wrong gear, loses cadence rhythm","UX; control","commuters; eMTB riders; drivetrain users","medium-high","Bosch eShift; SRAM Powertrain; MGU automatic modes","High drivetrain-control moat through Di2 and drivetrain ownership","Copy manual override and sensor-driven logic; avoid automatic-only behavior","F016;F017;V007","official_verified"
FP009,L2 quasi-direct,SRAM,"Eagle Powertrain","Auto Shift, Coast Shift, AXS controls/app, integrated E-MTB system","Keeps eMTB shifting integrated with motor behavior while preserving derailleur transmission feel","sport UX; ecosystem","premium eMTB users; OEM","medium-high","Shimano Di2; Bosch eShift; MGU","High in premium eMTB because drivetrain and controls are tightly packaged","Learn sport-mode UX; MGU must be predictable and rider-overridable for eMTB","F018;F019;V008","official_verified"
FP010,L2/L4 quasi-direct,enviolo,"Automatic / CVP hubs","Preferred pace/cadence automatic stepless shifting in enclosed hub/gearbox route","Casual riders do not want to manage gears; cargo/urban users want low upkeep","UX; maintenance; cargo","urban riders; cargo fleets; OEM","high for city/cargo; medium for eMTB","MGU; Rohloff E-14; Shimano AUTO SHIFT","Medium-high in urban/cargo due to established low-upkeep positioning","Copy preferred-cadence UX; beat hub alternatives on weight distribution and service packaging","F020;F021;V009","official_verified"
FP011,L2/L4 quasi-direct,Rohloff,"E-14 + SPEEDHUB","Drive-unit torque reduction, multi-shift, start gear and electronic hub control","Shifting under motor load, wrong start gear, high-load hub durability","reliability; control; service","touring users; cargo users; premium OEM","high in trekking/cargo","MGU; Pinion gearbox; enviolo; 3X3","High trust moat from durability reputation and clear mechanical range","Learn start-gear and torque-cut strategy; compete with central mass and lower system complexity","F022;F023;V010;V011","official_verified"
FP012,L2/L4 quasi-direct,3X3,"NINE/SIX + Electric Shift","Maintenance-free hub ecosystem shifting while stopped or under load","Start-stop convenience and low-maintenance internal gearing","maintenance; control; cargo","urban users; cargo users; compact bike OEM","medium-high","Rohloff; enviolo; MGU; Bosch eShift partners","Medium; needs torque/range evidence before strong conclusion","Track as substitute route; MGU must beat hub solutions on integration and weight distribution","F024;V012","official_verified"
FP013,L3 benchmark,"DJI / Avinox","M2S/M2/M1","High-output compact production drive-unit family with app/battery/display ecosystem","Sets user expectation for power density, software polish and boost modes","performance; ecosystem","premium eMTB users; OEM","medium","Bosch CX; Brose; Shimano; Bafang; Specialized","High brand/software moat, but no shifting pain solved by itself","Use as power-density/ecosystem benchmark only; do not confuse with MGU value","F005;F006;F007;V002","official_verified"
FP014,L3 benchmark,Bosch,"Performance Line CX","Clear standard vs max possible values, broad smart-system ecosystem","Defines mainstream premium motor expectations and integration baseline","performance; service; ecosystem","OEM; riders; dealers","medium","Avinox; Shimano; Brose; Bafang","Very high service/OEM ecosystem moat","Use as credibility benchmark; MGU must offer something CX cannot: low-maintenance drivetrain or automatic ratio integration","F015;V006","official_verified"
FP015,L4 substitute,Pinion,"P-line gearbox","Pure gearbox with 18/12 gear options, high range, 250 Nm max torque, 10,000 km service interval","Proves non-motor sealed gearbox can solve drivetrain durability and range","maintenance; mechanical architecture","gearbox bike OEM; cargo/touring users","high as technology reference","MGU; Rohloff; 3X3; derailleur drivetrains","High mechanical know-how moat","Learn gearbox sizing/service; avoid assuming motor integration is always needed","F025;V014","official_verified"

