candidate_id,tier,category,brand,product_or_system,region_or_origin,launch_status,target_vehicles,is_mid_drive,has_integrated_shifting,transmission_form,gears_or_ratio,torque_power_claim,weight_claim,control_sensor_integration,oem_or_bike_examples,source_ids,evidence_status,deep_dive,include_exclude_reason,notes_next_research
P001,L1 直接MGU,"concept MGU","DJI / Avinox","Avinox MG Concept","China / global","concept or pre-production signal","high-end eMTB / performance e-bike","yes","yes","reported eCVT / MGU","unknown","unknown; do not borrow Avinox M2S specs","unknown","unknown; likely high integration but official data absent","not confirmed","S001;S002","media_verified_official_gap","yes","Direct target because it matches motor plus transmission integration and is the user's reference concept.","Find official Avinox/DJI exhibit page, images, patents, dimensions, controller strategy and timeline."
P002,L1 直接MGU,"planned MGU","Gobao","X1 MGU","China / global","reported planned mass production around 2027","eMTB / high-performance e-bike","yes","yes","reported eCVT / MGU","unknown","reported by media; verify official X-series specs","unknown","unknown","not confirmed","O003;S001","media_plus_official_anchor","yes","Direct target because Gobao appears in the same eCVT MGU wave as Avinox MG Concept.","Extract Gobao X-series detail page, exact X1/X1P split, OEM wins and production readiness."
P003,L1 直接MGU,"planned MGU","Gobao","X1P MGU","China / global","reported planned mass production around 2027","eMTB / high-performance e-bike","yes","yes","reported eCVT / MGU","unknown","reported by media; verify official X-series specs","unknown","unknown","not confirmed","O003;S001","media_plus_official_anchor","yes","Direct target because it is likely the higher-performance Gobao MGU variant.","Confirm whether X1P differs in torque, power, voltage, ratio range, controller or OEM package."
P004,L1 直接MGU,"production MGU","Pinion","E-Drive MGU E1.9","Germany / global","production / OEM available","SUV, trekking, eMTB, cargo depending OEM","yes","yes","motor plus 9-speed gearbox","9 gears; 568% range per official page","85 Nm class per official page","around 4 kg family claim; verify model exact","integrated shift/drive control ecosystem","Bulls, Rotwild, Simplon, Tout Terrain and other MGU bikes to verify","O001","official_text_verified","yes","Direct benchmark because it is a commercially available integrated motor-gearbox unit.","Pull current datasheet, OEM bike list, service constraints, Q-factor, mounting interface, noise and warranty data."
P005,L1 直接MGU,"production MGU","Pinion","E-Drive MGU E1.12","Germany / global","production / OEM available","high-end trekking, SUV, eMTB, cargo depending OEM","yes","yes","motor plus 12-speed gearbox","12 gears; 600% range per official page","85 Nm class per official page","around 4 kg family claim; verify model exact","integrated shift/drive control ecosystem","Bulls, Rotwild, Simplon, Tout Terrain and other MGU bikes to verify","O001","official_text_verified","yes","Direct benchmark because it is the most complete production MGU reference.","Pull complete weight, ratio steps, shift behavior under load, software modes, battery/display ecosystem and service model."
P006,L1 直接MGU,"historical / current-status uncertain MGU","Valeo","Cyclee / Smart e-Bike System","France / global","uncertain; needs current commercial-status check","cargo, city, trekking, OEM e-bikes","yes","yes","motor plus automatic multi-speed gearbox","reported 7-speed historically; verify","reported high-torque historically; verify","unknown","automatic adaptive shifting claimed historically; verify","OEM examples need verification","O020","source_url_collected_needs_text_pass","yes","Direct candidate because it is widely referenced as motor plus automatic gearbox integration.","Find current Valeo Cyclee pages, archived press release, Effigear relationship, OEM bikes and whether program is active."
P007,L1 直接MGU,"historical integrated drive","Revonte","Revonte ONE","Finland / Europe","uncertain; needs company/product status check","city, cargo, MTB concepts","yes","yes","reported stepless/CVT-like integrated drive","unknown","unknown","unknown","automatic ratio control reported historically; verify","OEM examples need verification","O021","source_url_collected_needs_text_pass","yes","Direct historical candidate because it targets the same motor plus transmission problem, but evidence is incomplete.","Verify current company status, archive official material, patents and whether any production bikes shipped."
P008,L1/L2 边界,"automatic stepless e-bike transmission","Owuru","Owuru automatic stepless system","Europe","active/pending verification","urban, cargo, trekking e-bikes","unknown","yes, but motor integration boundary unknown","stepless / CVT-like automatic transmission","stepless; exact range unknown","not applicable or unknown","unknown","automatic cadence/speed control to verify","OEM examples need verification","O022","source_url_collected_needs_text_pass","yes","Potential direct or quasi-direct competitor depending whether gearbox is integrated with motor or paired externally.","Determine physical boundary: motor-internal, bottom-bracket, hub or external transmission; verify OEM adoption."
P020,L2 准直接方案,"electronic shifting ecosystem","Bosch","eShift","Germany / global","production ecosystem","city, trekking, cargo, eMTB depending partner drivetrain","yes as host motor ecosystem","no motor-internal shifting","electronic/automatic shifting via partner drivetrains","partner-dependent","uses Bosch motor specs, not an MGU spec","partner-dependent","deep integration with Bosch display, controller and partner shifters","Rohloff, enviolo and other eShift partners per Bosch page context","O004","official_text_verified","yes","Important quasi-direct route because it solves automatic shifting at system level without internal MGU.","Extract current partner matrix, user modes, failure behavior, service model and OEM uptake."
P021,L2 准直接方案,"electronic shifting ecosystem","Shimano","EP801 + Di2 AUTO SHIFT / FREE SHIFT","Japan / global","production ecosystem","eMTB, trekking, city depending Di2 drivetrain","yes","no motor-internal shifting","electronic derailleur/internal shifting with auto/free shift behavior","drivetrain-dependent","EP801 motor specs separate; verify from O007","drivetrain-dependent","motor, crank rotation, Di2 shift logic integration","Shimano OEM bikes using EP801 and Di2","O006;O007","official_text_verified","yes","Important quasi-direct route because it creates automated shifting experience with conventional drivetrain architecture.","Extract compatibility matrix, AUTO SHIFT conditions, FREE SHIFT mechanics, sensor inputs and UX limits."
P022,L2 准直接方案,"motor plus transmission ecosystem","SRAM","Eagle Powertrain","US / global","production ecosystem","high-end eMTB","yes","no motor-internal shifting","AXS Transmission electronic shifting integrated with motor control","derailleur cassette range; exact config by bike","motor specs and Brose relationship need verification","unknown","Auto Shift / Coast Shift style behavior needs official extraction","Transition, Nukeproof, GasGas and other OEM examples to verify","O008","source_url_collected_needs_text_pass","yes","Important quasi-direct route because motor control and electronic shifting are packaged as one ride system.","Extract official current specs, motor supplier, OEM list and shift-under-load strategy."
P023,L2 准直接方案,"automatic CVT hub ecosystem","enviolo","AUTOMATiQ","Netherlands / global","production ecosystem","city, trekking, cargo, utility e-bikes","host motor can be mid-drive or hub depending bike","no motor-internal shifting","automatic stepless CVT hub","stepless; range depends hub model","hub torque ratings need verification","hub weight model-dependent","controller keeps preferred cadence; verify details","many city/cargo OEMs to verify","O009","source_url_collected_needs_text_pass","yes","Important quasi-direct route because it offers automatic transmission UX without MGU integration.","Extract hub model limits, torque rating, cargo OEM adoption, user control model and service needs."
P024,L2 准直接方案,"electronic internal-gear hub","Rohloff","E-14 with SPEEDHUB 500/14","Germany / global","production ecosystem","trekking, expedition, cargo, premium e-bikes","host motor can be Bosch/Shimano/etc depending integration","no motor-internal shifting","14-speed internal gear hub with electronic control","14 gears; ratio range to verify","hub torque/e-bike limits need verification","hub weight to verify","electronic shift with e-bike system integrations","Riese & Muller, Tout Terrain and others to verify","O010","source_url_collected_needs_text_pass","yes","Important quasi-direct route for robust high-load electronic shifting outside the motor.","Extract E-14 compatibility with Bosch/Shimano/FIT, shift timing, load limits and OEM installations."
P025,L2/L4 边界,"internal-gear hub ecosystem","3X3","NINE / e-shift integrations","Germany / global","production / emerging ecosystem","cargo, trekking, SUV e-bikes","host motor external","no motor-internal shifting","9-speed internal gear hub / electronic options to verify","9 gears; exact range to verify","torque rating to verify","hub weight to verify","manual/electronic shifting options need verification","OEM examples need verification","O011","source_url_collected_needs_text_pass","conditional","Relevant if high-torque e-bike hub and electronic integration compete with MGU value proposition.","Verify e-bike torque rating, automatic/electronic options and OEM scale."
P026,L2/L4 边界,"hub-shift substitute","Classified","Powershift hub","Belgium / global","production in performance cycling; e-bike relevance uncertain","gravel, road, some e-bike adjacency to verify","no","no motor-internal shifting","2-speed wireless hub shift","2-speed hub plus cassette; exact range by setup","not a motor spec","unknown","wireless electronic shifting","performance bike OEMs; e-bike use to verify","O012","source_url_collected_needs_text_pass","conditional","Technology substitute for front shifting, but less directly relevant to high-torque MGU.","Check e-bike/cargo torque suitability before spending deep analysis time."
P040,L3 高性能中置基准,"production mid-drive","DJI / Avinox","Avinox M2S","China / global","production / OEM available","high-performance eMTB","yes","no","fixed-ratio mid-drive reduction, no rider gearbox","not applicable","official torque/power values require model-condition footnotes","official weight requires model footnotes","high-integration motor, battery, display, app ecosystem","Amflow and Avinox ecosystem bikes","O002","official_text_verified","benchmark","Key L3 benchmark for power density and ecosystem, but not an MGU.","Separate M2S boost claims from sustained/default claims; map battery dependency and thermal duration."
P041,L3 高性能中置基准,"production mid-drive","DJI / Avinox","Avinox M2","China / global","production / OEM available","performance eMTB","yes","no","fixed-ratio mid-drive reduction, no rider gearbox","not applicable","official values require model-condition footnotes","official weight requires model footnotes","integrated Avinox ecosystem","Amflow and Avinox ecosystem bikes","O002","official_text_verified","benchmark","Important baseline because MG Concept should not be conflated with current Avinox M2 family.","Extract exact M2/M2S/M1 differences and thermal/boost constraints."
P042,L3 高性能中置基准,"production mid-drive","DJI / Avinox","Avinox M1","China / global","production / OEM available","lighter eMTB / e-bike platforms","yes","no","fixed-ratio mid-drive reduction, no rider gearbox","not applicable","official values require model-condition footnotes","official weight requires model footnotes","integrated Avinox ecosystem","Avinox ecosystem bikes","O002","official_text_verified","benchmark","Useful baseline for compactness and ecosystem strategy.","Extract model split and OEM positioning."
P043,L3 高性能中置基准,"production mid-drive","Bosch","Performance Line CX","Germany / global","production ecosystem","eMTB, SUV, trekking","yes","no","fixed-ratio mid-drive reduction, no rider gearbox","not applicable","official values vary by setting/upgrade; verify current footnotes","official weight to verify","Bosch smart system with sensors, display, app, ABS/eShift ecosystem","broad OEM base","O005","official_text_verified","benchmark","Core global benchmark for OEM adoption, service network and user trust.","Build parameter row with default vs upgrade values and MY/firmware date."
P044,L3 高性能中置基准,"production mid-drive","Bosch","Performance Line CX Race","Germany / global","production / limited high-performance variant","race eMTB","yes","no","fixed-ratio mid-drive reduction, no rider gearbox","not applicable","current official values need page-level confirmation","official weight to verify","Bosch smart system race tuning","premium eMTB OEMs","O005","needs_specific_source_pass","benchmark","Useful power-delivery benchmark but not a transmission competitor.","Find current CX Race page and distinguish from CX MY2025/2026 values."
P045,L3 高性能中置基准,"production mid-drive","Shimano","EP801","Japan / global","production ecosystem","eMTB, trekking, SUV","yes","no","fixed-ratio mid-drive reduction, no rider gearbox","not applicable","official values require O007 extraction","official weight requires O007 extraction","Shimano E-TUBE, Di2, drivetrain ecosystem","broad OEM base","O007","official_url_collected_needs_text_pass","benchmark","Core benchmark and host for AUTO/FREE SHIFT.","Extract official torque, weight, assist profile, Di2 compatibility and service constraints."
P046,L3 高性能中置基准,"production mid-drive","Brose","Drive S Mag / current Brose drives","Germany / global","production / OEM supplier","eMTB, trekking, OEM private-label systems","yes","no","fixed-ratio mid-drive reduction, no rider gearbox","not applicable","current official values need extraction","official weight to verify","supplier platform, often private-label integrated by OEMs","Specialized/SRAM/Brose contexts need verification","O018","source_url_collected_needs_text_pass","benchmark","Important because OEM/private-label motor strategy competes with building full MGU in-house.","Map which systems are Brose-derived and which are current Brose own-brand."
P047,L3 高性能中置基准,"production mid-drive","Yamaha","PW-X3 / PW-XM / current PW family","Japan / global","production ecosystem","eMTB, trekking, city depending model","yes","no","fixed-ratio mid-drive reduction, no rider gearbox","not applicable","current official values need extraction","official weight to verify","Yamaha drive control ecosystem","Haibike/Giant and others to verify","O017","source_url_collected_needs_text_pass","benchmark","Important long-running OEM motor benchmark.","Extract current lineup and eMTB-specific models."
P048,L3 高性能中置基准,"production mid-drive","Bafang","M-series high-torque mid-drives","China / global","production supplier ecosystem","eMTB, cargo, fat bike, utility depending model","yes","no","fixed-ratio mid-drive reduction, no rider gearbox","not applicable","model-specific values need extraction","model-specific weight to verify","supplier ecosystem; CAN/UART variants need model check","broad OEM and aftermarket presence","O016","source_url_collected_needs_text_pass","benchmark","Important China/global supplier benchmark and cost/scale reference.","Split M510/M560/M620/M820 and verify voltage, torque, mass, protocol and OEM positioning."
P049,L3 高性能中置基准,"lightweight mid-drive","TQ","HPR-series","Germany / global","production ecosystem","light eMTB, gravel, urban premium bikes","yes","no","harmonic pin-ring / compact mid-drive, no rider gearbox","not applicable","current official values need extraction","official weight to verify","compact quiet drive ecosystem","Trek and other OEMs to verify","O014","source_url_collected_needs_text_pass","benchmark","Benchmark for quietness, compactness and integration tradeoff rather than MGU.","Extract HPR50/HPR60 specs and OEM placements."
P050,L3 高性能中置基准,"lightweight mid-drive","FAZUA","Ride 60","Germany / global","production ecosystem","light eMTB, urban, gravel","yes","no","compact mid-drive, no rider gearbox","not applicable","current official values need extraction","official weight to verify","battery/controller/app ecosystem","Pivot, Canyon, Riese & Muller and others to verify","O015","source_url_collected_needs_text_pass","benchmark","Benchmark for lightweight integrated e-bike systems.","Extract latest specs and Porsche/FAZUA ecosystem implications."
P051,L3 高性能中置基准,"OEM integrated mid-drive","Specialized","Turbo Full Power / SL systems","US / global","production ecosystem","eMTB, road, gravel, city depending model","yes","no","OEM-controlled mid-drive systems, no rider gearbox","not applicable","model-specific values need extraction","model-specific weight to verify","highly integrated motor, battery, app and display strategy","Specialized-only bikes","O019","source_url_collected_needs_text_pass","benchmark","Benchmark for OEM-owned ride feel and software ecosystem.","Separate Brose-derived full-power systems from SL systems and current generations."
P060,L4 替代技术路线,"mechanical gearbox","Pinion","C-line / P-line / Smart.Shift gearboxes","Germany / global","production gearbox ecosystem","MTB, trekking, travel, cargo depending frame","bottom-bracket gearbox, no motor by itself","yes as bicycle gearbox, no motor","sealed multi-speed gearbox","model-specific 6/9/12/18-speed and ranges to verify","not a motor spec","model-specific weight to verify","manual or Smart.Shift electronic options","many gearbox-specific bike frames","O024","source_url_collected_needs_text_pass","conditional","Core substitute technology and supplier-learning source for sealed gearbox design.","Extract ratio, torque/load limits, shifting under load, sealing/service intervals and frame interface."
P061,L4 替代技术路线,"mechanical gearbox","Effigear","Mimic / gearbox family","France","production gearbox ecosystem / supplier background","MTB, cargo, adventure frames","bottom-bracket gearbox, no motor by itself","yes as bicycle gearbox, no motor","sealed multi-speed gearbox","model-specific range to verify","not a motor spec","model-specific weight to verify","manual/electronic possibilities to verify","gearbox bike OEMs to verify","O023","source_url_collected_needs_text_pass","conditional","Relevant for gearbox architecture and Valeo background, not same product class by itself.","Extract current product range, ratios, service and e-bike compatibility."
P062,L4 替代技术路线,"CVT hub","enviolo","Manual CVT hub families","Netherlands / global","production ecosystem","city, trekking, cargo e-bikes","hub transmission, motor external","yes as hub transmission, no motor","stepless CVT hub","range depends hub model","hub torque rating to verify","model-specific weight to verify","manual or automatic variants","many city/cargo OEMs","O009","source_url_collected_needs_text_pass","conditional","Substitute route for low-maintenance automatic or stepless shifting.","Split AUTOMATiQ from manual hubs; extract torque and e-bike limits."
P063,L4 替代技术路线,"internal gear hub","Rohloff","SPEEDHUB 500/14","Germany / global","production ecosystem","trekking, expedition, cargo, premium e-bikes","hub transmission, motor external","yes as hub transmission, no motor","14-speed internal gear hub","14 gears; ratio range to verify","hub torque/e-bike limits need extraction","hub weight to verify","manual or E-14 electronic options","premium OEM bikes","O010","source_url_collected_needs_text_pass","conditional","Benchmark for durable high-range internal gear hubs.","Extract load limits, e-bike compatibility and service intervals."
P064,L4 替代技术路线,"internal gear hub","3X3","NINE hub","Germany / global","production / emerging ecosystem","cargo, trekking, SUV e-bikes","hub transmission, motor external","yes as hub transmission, no motor","9-speed internal gear hub","9 gears; range to verify","torque rating to verify","hub weight to verify","manual/electronic options to verify","OEMs to verify","O011","source_url_collected_needs_text_pass","conditional","Potential high-torque hub substitute route.","Confirm real OEM scale and e-bike torque rating."
P065,L4 替代技术路线,"belt drive ecosystem","Gates","Carbon Drive","US / global","production ecosystem","commuter, trekking, cargo, gearbox bikes","no","no by itself","belt and sprocket drivetrain","not applicable","not a motor spec","component-dependent","requires compatible frame and sprockets; tension/alignment critical","many OEM bikes","O013","source_url_collected_needs_text_pass","conditional","Important companion route for sealed MGU/gearbox value proposition.","Use design guide to check chainline, center distance, sprocket, service and frame constraints."
P066,L4 替代技术路线,"durable derailleur drivetrain","Shimano","LINKGLIDE / CUES e-bike drivetrains","Japan / global","production ecosystem","city, trekking, eMTB depending group","no","no motor-internal shifting","derailleur drivetrain optimized for durability","cassette-dependent","not a motor spec","component-dependent","mechanical/electronic variants depending group","broad OEM base","O025","source_url_collected_needs_text_pass","conditional","Substitute route: cheaper and repairable high-load drivetrain may reduce MGU need in some segments.","Extract durability claims, e-bike target, compatibility and price positioning."
